id,authors,category,date,header,medium,format,genre,mediumType,price,section,text
81588954,['Alberto Barranco'],REVISTA,2019-09-22T13:09:15Z,Los 100 años con Don Porfirio,Vértigo,IMPRESO,Artículo,Semanario Político,44510.6,Nacional,"Juntos, pero no revueltos: caballeros de levita y sombrero de copa, damas alhajadas y encopetadas esparcían sus olores y primores en los salones de Palacio Nacional; pelados, rotitos, marchantas, gendarmes, jicareros, en la plancha la multitud recibió la llegada de 1910 a Zócalo pleno. El estallido intermitente de cohetones apagaba los gritos mientras las bengalas, los castillos, la catarata de juegos pirotécnicos volvía arcoíris el infinito. El año del centenario. Ocho antes el presidente Porfirio Díaz había empezado a trazar la escenografía con la integración de la Comisión de festejos por más que en 1901 se había colocado la primera piedra de la Columna de la Independencia. La casa por la ventana en la demostración de un México de orden y progreso.Adiós a las guerras civiles. Adiós al bandidaje. Adiós al libertinaje. Y como lo primero es lo primero un grupo de mujeres de la más alta sociedad, con el encabezadas por la primera dama, Carmelita Romero Rubio de Díaz, lanzaron una campaña de alfabetización. .. que logró el milagro de juntar las letras en 350 campesinos. Para no dar mal aspecto a los embajadores especiales de todos los países el mismo grupo hizo una gran colecta para uniformar de caqui a los niños de la calle. Sus zapatones mineros, su sombrero ... Y todos los hoteles de lujo, el Geneve de la colonia Juárez a la cabeza, prepararon sus mejores habitaciones. La única ausencia fue de Gran Bretaña dado el luto por la muerte del rey Eduardo VII, aunque de último minuto tampoco llegó República Dominicana. Y aunque Nicaragua envió un embajador especial de lujo, el poeta Rubén Darío, le dijeron: Usted perdone pero no trae acreditaciones oficiales”. Esplendor Ahora que cada país envió su regalito: España, un uniforme de campaña que había usado el generalísimo José María Morelos y Francias, las llaves de la Ciudad de México que se ke habian entregado innoblemente al general Forey, cuando su ejército invasor la envolvió; China, el reloj emblemático de Bucareli; Gran Bretaña, el reloj de cuatro caras de Pachuca; la colonia libanesa, a nombre del pueblo otomano, el reloj turco de la Plaza de la Ranita, con esta como pilón tocando un laúd.... En el refuego de inauguraciones llegaría el manicomio de La Castañeda de Mixcoac, construido por el ingeniero Porfirio Díaz; el Hemiciclo a Juárez; el edificio de la Escuela Normal de Maestros; el Parque Balbuena y, naturalmente, la Columna de la Independencia, en un enjambre de bibliotecas públicas, kioscos, portales. .. Y luz, mucha luz. Millones de foquitos abrazados al Palacio Nacional, el edificio del Ayuntamiento, la Catedral y, naturalmente, el de la Compañía de Luz llegaría y Fuerza de la calle de Gante. El esplendor llegaría con el baile de gala de Palacio Nacional el 22 de septiembre, con cinco mil invitaciones al calce, miles de enredaderas y guirnaldas y una vajilla con el escudo nacional mandada hacer en Francia. La música tenía la firma de la orquesta de los vascos Jordá y Rocabuena. El premio de consolación para los que no pudieron entrar fue una serie de bailes en el Tívoli del Elisco, el teatro Vicente Guerrero, el teatro Cuillermo Prieto, los mercados de San Juan, San Lucas y San Cosme, con aguas de horchata a cuenta de don Porfirio.. . aunque se coló el palquito. Días antes, el 16, la madre de todos los desfiles, en una escenografía que retrataba la historia de México: los aztecas, las armaduras españolas, los uniformes de los jefes insurgentes, el país imdependiente... La serpentina, por Paseo de la Reforma, la encabezó el estandarte de la Virgen de Guadalupe que enarboló el cura Hidalgo 100 años antes. El encanto se rompería el 20 de noviembre. El esplendor llegaría con el baile de gala de Palacio Nacional el 22 de septiembre”."
81132222,['Magu'],REVISTA,2019-09-02T11:33:42Z,Monigoterías // Bartlett y la Cuaternaria Transformación,Vértigo,IMPRESO,Cartones,Semanario Político,10167.9,Revista,"[OARRA7. ADORADOR DEL CARBON, EL DIRECTOR DELA CFE _2 k—350 AL EXTRENO CONTRA LOS GASODUCTOS, € o www.vertigopolitico.com 15"
81132347,['Rafael Hernández'],REVISTA,2019-09-02T11:39:37Z,Voces para El Bronce // Manotazos,Vértigo,IMPRESO,Cartones,Semanario Político,68116.8,Revista,"llustración de Rafael Hernández con base en la obra Oliver Cromwell y John Milton, de Charles West Cope (1811-1890). Los procesos en Morena para elegir al presidente del Senado y al nuevo [N nacional del partido provocan un ambiente belicoso al in?eripr [ CEE EO el primer morénista de la nación advierte a sus huestes que si continúan con su talante . yea uai — — e NEE TA pendenciero renunciará y se llevará hasta el lo yeee C para dejarlo claro manda Voces para el bronce al carajo” a los ambiciosos vulgares”."
81133238,['Rafael Hernández Herrera'],REVISTA,2019-09-02T12:19:18Z,Emblemas Políticos // Espejo de Príncipes,Vértigo,IMPRESO,Cartones,Semanario Político,3877.52,Revista,"De Idlib salen cientos de miles El éxodo sirio no tiene fin, huyendo del yugo yihadista. la persecución no descansa: Sus cuerpos lucen febriles cuando el presente es ruin y no hay remedio a la vista. ni la esperanza alcanza. www.vertigopolitico.com 39"
81269723,['Magu'],REVISTA,2019-09-07T13:29:56Z,Monigoterías // Epidemia de reeleccionismo en la 4T,Vértigo,IMPRESO,Cartones,Semanario Político,10042.3,Nacional,"EPIDEMIA DE REELECCIONISMO EN LA 4T 19 u AOO MUÑOZ LEDO SE BAJAA — MA CURARSE é EN SALUD. — U BATRES SUFRE ESPASMOS PORLA CALENTURA Y POR PERDER LA REELECCIÓN.., DRAZN TE AO MADERO BUSCA PROTEGER RO NN 2TSN EL EMBLEMA DE 5U e . UN Y ¡x-,_.5 xx* COOP¿IHAC¡ON¡Í( 25 0U > . d k e. ¿NE ÍENADÓ /¡/(// A |3… — /_ ( C MONIGOTERÍAS Magú magu85(Ogmail.com"
81269982,['Rafael Hernández'],REVISTA,2019-09-07T13:52:38Z,Voces para el bronce // Perseverancia,Vértigo,IMPRESO,Cartones,Semanario Político,56078.9,Nacional,Andres Manuel López Obrador Arturo Herrera E ECN TT) pue (e ! aEOO asa;eros que r;qwer¿ C Presupuesto |
81270129,['Redacción'],REVISTA,2019-09-07T14:06:18Z,Teloneros // sismo político,Vértigo,IMPRESO,Cartones,Semanario Político,1236.53,Nacional,"L O R S abrupta, ni elecciones anticipadas, caray, así no se puede gobernar!"
81436212,['Magu'],REVISTA,2019-09-14T11:11:57Z,Monigoterías // Tiemblan los criminales...,Vértigo,IMPRESO,Cartones,Semanario Político,53529.0,Nacional,— ESMOS + ANORIZADOS — AUSRLAS - NUEJASAMAS ENCUSTAS DELEJNCTO: — LASACALAS UO GUACALAS a MONIGOTERÍAS *¿&! Magú ANAN | MAgUS5Ogmail.com TIEMBLAN LOS CRIMINALES... AL FIN SE HA DISEÑADO LA MÁS LETAL DE LAS POLÍTICAS DE SEGURIDAD NACIONAL — — _— U s y o EsMOS 1 AUORIZADOS AUMUS - — NUEMSARMAS — É — EneSAS — DELEFACIO: 558 — LASUCHILAS E YNO GUACALAS — X V LOS Y A $ g;f -
81436375,['Rafael Hernández'],REVISTA,2019-09-14T11:23:45Z,Voces para el bronce // Validez constitucional,Vértigo,IMPRESO,Cartones,Semanario Político,59890.7,Nacional,constítué£ e y C d e que engda Carta Magna de la CDMX se reconozca med¡co y tera TTaTeo ) la marihuana. Con elto la sciI __ y h. . É . a * o A médico y teraB;ut¡co de la marihuana. Con ello la SCN U n la obra Henri Sainte-Claire ra e I Hernández%o aTa Tel a- E-To 11 ñ S Erema Corteyd!]us&a de la Nación validó la P E que quienes lo requieran tengan acceso al producto.
81436764,['Rafael Hernández Herrera'],REVISTA,2019-09-14T11:58:31Z,Espejos de príncipes,Vértigo,IMPRESO,Cartones,Semanario Político,4540.79,Nacional,"ESPEJO DE PRÍNCIPE S eee Herer Un intenso estira y afloja Boris Johnson no cede nada, a Reino Unido tiene en vilo. y menos aún su oposición: Con la fragilidad de una hoja, cada cual con su cruzada, Su estabilidad pende de un hilo. El Brexit deja solo división."
